	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
23	234817	COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)O)OC)O	COc1cc(C2OCC3C(c4ccc(O)c(OC)c4)OCC23)ccc1O	HGXBRUKMWQGOIE-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
24	5280805	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	IKGXIBQEEMLURG-NVPNHPEKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
25	10736226	C[C@H]1[C@@H]([C@H](O[C@H]1C2=CC(=C(C=C2)O)OC)C3=CC(=C(C=C3)O)OC)C	COc1cc([C@H]2O[C@@H](c3ccc(O)c(OC)c3)[C@@H](C)[C@@H]2C)ccc1O	GMXMKSFJQLFOSO-HKKFXGGESA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
26	6441894	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]3[C@H](OCC(O3)C4=CC(=C(C=C4)O)O)O[C@@H]([C@H]2OC(=O)/C=C/C5=CC(=C(C=C5)O)O)CO)O)O)O	C[C@@H]1O[C@@H](O[C@@H]2[C@@H]3OC(c4ccc(O)c(O)c4)CO[C@@H]3O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O	FPOYEEKZOOLVJA-DNBQVIFESA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
27	6440999	C/C=C\1/[C@@H](OC=C(C1CC(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OCCC3=CC=C(C=C3)O)O)O)O)C(=O)OC)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	C/C=C1\C(CC(=O)OC[C@H]2O[C@@H](OCCc3ccc(O)cc3)[C@H](O)[C@@H](O)[C@@H]2O)C(C(=O)OC)=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	STKUCSFEBXPTAY-YTECAPLWSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
28	102461561	C/C=C/1\[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)O)CC(=O)OCCC3=CC(=CC=C3)O	C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1CC(=O)OCCc1cccc(O)c1	STZASNMDDSDBTG-KWBFRFFSSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
29	5319116	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O	O=c1cc(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c2)oc2cc(O)cc(O)c12	UHNXUSWGOJMEFO-QNDFHXLGSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
30	44258093	C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4C(C([C@@H]([C@@H](O4)CO)O)O)O)O)O)O[C@H]5C(C([C@@H](C(O5)CO)O)O)O	O=c1cc(-c2ccc(O[C@@H]3OC(CO)[C@@H](O)C(O)C3O)c(O)c2)oc2cc(O[C@@H]3O[C@@H](CO)[C@@H](O)C(O)C3O)cc(O)c12	CFVDPAXOTMTQCU-DYVOXHERSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
31	6450302	C/C=C/1\[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)O)CC(=O)OCCC3=CC(=C(C=C3)O)O	C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)O)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1	HKVGJQVJNQRJPO-VTDDDATNSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
32	73399	COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)O	COc1cc([C@H]2OC[C@@H]3[C@@H](c4ccc(O)c(OC)c4)OC[C@H]23)ccc1O	HGXBRUKMWQGOIE-AFHBHXEDSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
