	compound	original_molecule	standardized_molecule	standardized_molecule_InchiKey	properties_log
16	CHEMBL563888	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@@H](C(=O)O)C2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCN[C@@H](C(=O)O)C2)[C@@H](O)[C@H]1O	PPAKVYRRHNXOLG-IBCGMDAMSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
17	CHEMBL558883	CN1C[C@@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C(O)[C@@H]2O)C[C@H]1C(=O)O	CN1C[C@@H](SC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)C(O)[C@@H]2O)C[C@H]1C(=O)O	IEBDFAUMOQPAOE-BFBXQKNBSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
18	CHEMBL538627	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O	CCGNITMZESBAEB-WFMPWKQPSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
19	CHEMBL564052	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCNC2)[C@@H](O)[C@H]1O	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@@H]2CCNC2)[C@@H](O)[C@H]1O	OFJQITMYJIEZGC-BAYCTPFLSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
21	CHEMBL564768	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	HGUVDAILKKOLIO-NRJACJQQSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
22	CHEMBL563024	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	VONHOFVDOPIQRY-BWZSZYTASA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
23	CHEMBL560306	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccncc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccncc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O	VQOWPWAOTNFGDX-XTMLTMLVSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
24	CHEMBL552763	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@H](O)[C@@H]1O)C(=O)O	NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)nc(Cl)nc32)[C@H](O)[C@@H]1O)C(=O)O	AJASNJHKLZFEOV-RLOJTGAKSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
25	CHEMBL599367	O=C(O)CCCC(C(=O)O)N1C(=O)c2ccccc2C1=O	O=C(O)CCCC(C(=O)O)N1C(=O)c2ccccc2C1=O	WJNORNDVKYKEGX-UHFFFAOYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
26	CHEMBL563946	Nc1ccnc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ccnc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O	RSRCFARQVZZYKV-QZBYRPAYSA-N	Molecule correct. Molecular properties (MW,NR) within standard limits
